Sales Title,Location/Distance (Miles),Price (£),Mileage,Year,Fuel Type,Transmissions,Colour,Number of Doors,Engine Size,Number of Reviews,Rating,Body Type,CO2 Emissions (g/km)
Renault Clio 0.9L Dynamique S Nav TCe,2,9949,46340,2018,Petrol,Manual,Silver,5,0.9 L,115,4,Hatchback,105
Vauxhall Astra 1.4L SRi i Turbo,2,9999,42255,2017,Petrol,Manual,Red,5,1.4 L,368,4,Hatchback,128
Fiat 500 1.2L Lounge,2,9999,14659,2019,Petrol,Manual,Black,3,1.2 L,44,4.5,Hatchback,108
Fiat 500 1.2L Lounge,2,10099,28492,2018,Petrol,Manual,Red,3,1.2 L,44,4.5,Hatchback,116
Skoda Fabia 1.2L Colour Edition TSI,2,10099,28575,2016,Petrol,Manual,Blue,5,1.2 L,153,4,Hatchback,107
Renault Captur 0.9L Dynamique S Nav TCe ENERGY,2,10099,26862,2016,Petrol,Manual,Black,5,0.9 L,9,4.5,Suv,114
Vauxhall Astra 1.6L Design ecoFLEX CDTi,2,10149,46583,2016,Diesel,Manual,Silver,5,1.6 L,368,4,Estate,89
Renault Captur 0.9L Dynamique S Nav TCe ENERGY,2,10199,52177,2018,Petrol,Manual,Brown,5,0.9 L,9,4.5,Suv,114
Vauxhall Zafira Tourer 1.4L SRi i Turbo,2,10199,46968,2015,Petrol,Manual,Blue,5,1.4 L,160,4,Mpv,158
Volkswagen up! 1L Move up!,2,10249,18568,2018,Petrol,Manual,White,3,1.0 L,22,4,Hatchback,101
Ford Fiesta 1L Titanium EcoBoost T,2,10249,40835,2016,Petrol,Manual,Grey,5,1.0 L,373,4,Hatchback,99
Nissan Note 1.2L Black Edition,2,10249,22183,2017,Petrol,Manual,White,5,1.2 L,78,4,Hatchback,109
Kia Picanto 1L GT-Line T-GDi,2,10249,26992,2019,Petrol,Manual,White,5,1.0 L,61,4,Hatchback,117
Nissan Juke 1.5L Tekna dCi,2,10299,58155,2017,Diesel,Manual,Black,5,1.5 L,31,4,Suv,104
Skoda Fabia 1.2L SE TSI,2,10299,30162,2017,Petrol,Manual,Grey,5,1.2 L,153,4,Hatchback,107
Vauxhall Corsa 1.4L SE ecoFLEX i,2,10349,38626,2017,Petrol,Manual,Black,5,1.4 L,268,4,Hatchback,118
Fiat 500 1.2L Lounge,2,10349,9296,2017,Petrol,Manual,Orange,3,1.2 L,44,4.5,Hatchback,110
Ford EcoSport 1.5L Zetec,2,10349,48608,2017,Petrol,Manual,Yellow,5,1.5 L,3,4.5,Suv,149
Peugeot 108 1L Allure,2,10349,16738,2021,Petrol,Manual,Red,5,1.0 L,1,4,Hatchback,111
Vauxhall Corsa 1.4L SRi VX Line ecoFLEX i,2,10349,14105,2017,Petrol,Manual,Grey,5,1.4 L,268,4,Hatchback,120
Vauxhall Corsa 1.4L Energy ecoTEC i,2,10349,12382,2019,Petrol,Manual,White,3,1.4 L,268,4,Hatchback,128
Nissan Juke 1.5L Tekna dCi,2,10349,44234,2017,Diesel,Manual,Red,5,1.5 L,31,4,Suv,104
Hyundai i20 1.2L Sport,2,10399,14823,2017,Petrol,Manual,Blue,3,1.2 L,54,4.5,Coupe,119
Volkswagen up! 1L High up!,2,10399,46205,2017,Petrol,Manual,Black,5,1.0 L,22,4,Hatchback,101
Toyota AYGO 1L x-press VVT-i,2,10399,16444,2017,Petrol,Manual,White,5,1.0 L,41,4,Hatchback,95
Dacia Sandero Stepway 0.9L Comfort TCe,2,10399,22210,2018,Petrol,Manual,Blue,5,0.9 L,15,4,Hatchback,125
Kia Picanto 1.2L 2,2,10399,22274,2017,Petrol,Automatic,White,5,1.2 L,61,4,Hatchback,124
Ford Fiesta 1L Zetec EcoBoost T,2,10449,36455,2016,Petrol,Manual,Silver,5,1.0 L,373,4,Hatchback,99
Nissan Micra 0.9L Acenta IG-T,2,10449,10074,2018,Petrol,Manual,White,5,0.9 L,114,4,Hatchback,118
Nissan Leaf Tekna,2,10449,38513,2016,Electric,Automatic,Red,5,N/A,7,4.5,Hatchback,0
Toyota Yaris 1.3L Icon Dual VVT-i,2,10499,7214,2015,Petrol,Manual,Blue,5,1.3 L,155,4.5,Hatchback,114
Vauxhall ADAM 1.2L ENERGISED i,2,10499,10414,2019,Petrol,Manual,Red,3,1.2 L,3,4.5,Hatchback,128
Hyundai i10 1L GO! SE,2,10549,28280,2018,Petrol,Manual,Grey,5,1.0 L,58,4,Hatchback,108
Dacia Sandero Stepway 0.9L Ambiance TCe,2,10549,8874,2018,Petrol,Manual,Blue,5,0.9 L,15,4,Hatchback,115
Renault Captur 1.5L Dynamique Nav dCi ENERGY,2,10549,32555,2017,Diesel,Manual,Black,5,1.5 L,9,4.5,Suv,98
Fiat 500X 1.4L Lounge MultiAir,2,10549,52612,2016,Petrol,Manual,Black,5,1.4 L,44,4.5,Suv,139
Peugeot 308 1.5L Allure Premium BlueHDi,2,10549,74579,2020,Diesel,Manual,Silver,5,1.5 L,51,4,Hatchback,121
Volkswagen Polo 1L Match Edition BlueMotion Tech,2,10549,40593,2017,Petrol,Manual,Black,5,1.0 L,151,4,Hatchback,108
Ford B-Max 1.6L Zetec,2,10549,28273,2015,Petrol,Automatic,Blue,5,1.6 L,18,4.5,Mpv,149
Renault Captur 1.2L Dynamique S Nav TCe ENERGY,2,10549,34463,2017,Petrol,Manual,Silver,5,1.2 L,9,4.5,Suv,125
Ford Fiesta 1.2L Zetec,2,10549,14982,2017,Petrol,Manual,Green,5,1.2 L,373,4,Hatchback,122
Fiat Tipo 1.6L Lounge MultiJetII,2,10599,36152,2017,Diesel,Manual,Grey,5,1.6 L,1,4.5,Hatchback,98
Ford Fiesta 1.1L Zetec Ti-VCT,2,10599,54850,2018,Petrol,Manual,Grey,5,1.1 L,373,4,Hatchback,114
Vauxhall Astra 1.4L SRi i Turbo,2,10599,40028,2017,Petrol,Manual,Grey,5,1.4 L,368,4,Hatchback,128
Hyundai i20 1.2L SE,2,10599,38455,2017,Petrol,Manual,White,5,1.2 L,54,4.5,Hatchback,112
Ssangyong Korando 2.2L ELX D,2,10599,34420,2016,Diesel,Automatic,Silver,5,2.2 L,5,4,Suv,177
Seat Leon 1.4L SE TSI,2,10649,48850,2015,Petrol,Manual,Red,5,1.4 L,46,4.5,Hatchback,120
Vauxhall Corsa 1.4L Limited Edition ecoFLEX i,2,10649,8290,2017,Petrol,Manual,Grey,5,1.4 L,268,4,Hatchback,120
Peugeot 308 1.2L Active PureTech,2,10649,20929,2017,Petrol,Manual,Blue,5,1.2 L,51,4,Hatchback,104
Vauxhall Corsa 1.4L Griffin ecoTEC i,2,10699,20503,2019,Petrol,Manual,Red,5,1.4 L,268,4,Hatchback,128
Kia Picanto 1.2L 2,2,10699,18581,2020,Petrol,Manual,Black,5,1.2 L,61,4,Hatchback,114
Hyundai i10 1.2L Premium SE,2,10749,20487,2017,Petrol,Manual,Black,5,1.2 L,58,4,Hatchback,114
Skoda Fabia 1L S TSI,2,10749,22932,2019,Petrol,Manual,Blue,5,1.0 L,153,4,Hatchback,103
Kia Picanto 1.2L 2,2,10749,46756,2018,Petrol,Automatic,Blue,5,1.2 L,61,4,Hatchback,124
Nissan Micra Tekna IG-T,2,10749,24365,2018,Petrol,Manual,Black,5,0.9 L,114,4,Hatchback,104
Vauxhall Astra 1.6L Tech Line Nav ecoTEC BlueInjection CDTi,2,10799,54592,2018,Diesel,Manual,Silver,5,1.6 L,368,4,Hatchback,107
Nissan Leaf Tekna,2,10799,40125,2017,Electric,Automatic,White,5,N/A,7,4.5,Hatchback,0
Volkswagen Polo 1.2L Match BlueMotion Tech TSI,2,10849,50286,2016,Petrol,Manual,Black,5,1.2 L,151,4,Hatchback,107
Citroen C1 1L Urban Ride VTi,2,10849,1442,2021,Petrol,Manual,Silver,5,1.0 L,44,4,Hatchback,109
Vauxhall Corsa 1.4L Griffin ecoTEC i,2,10899,34204,2019,Petrol,Manual,Blue,3,1.4 L,268,4,Hatchback,128
Ford Fiesta 1.1L Zetec Ti-VCT,2,10899,30815,2018,Petrol,Manual,White,3,1.1 L,373,4,Hatchback,101
Smart fortwo 0.9L Prime T,2,10899,34918,2016,Petrol,Automatic,Silver,2,0.9 L,26,4.5,Convertible,97
Ford Fiesta 1L ST-Line EcoBoost T,2,10899,58060,2018,Petrol,Manual,Red,3,1.0 L,373,4,Hatchback,97
Ford Fiesta 1.1L Zetec Ti-VCT,2,10899,18563,2018,Petrol,Manual,Blue,5,1.1 L,373,4,Hatchback,101
Fiat 500 1.2L Lounge,2,10899,18840,2019,Petrol,Manual,Black,3,1.2 L,44,4.5,Hatchback,114
Skoda Rapid Spaceback 1.2L SE Sport TSI,2,10949,64504,2017,Petrol,Manual,Red,5,1.2 L,7,4.5,Hatchback,111
Nissan Juke 1.5L Acenta dCi,2,10949,62554,2019,Diesel,Manual,Black,5,1.5 L,31,4,Suv,123
Ford B-Max 1.4L Zetec,2,10949,26319,2016,Petrol,Manual,Silver,5,1.4 L,18,4.5,Mpv,139
